Date,NVDA_adj_close,NVDA_Volume,USD_GDP_Billions,Inflation,US_Interest_Rate,SP500,DXI,GoldPrice,Google_Adj_Close,AAPL_Adj_Close,MSFT_Adj_Close,INTC_Adj_Close,Instrument,Company Event Type,Event Title,Event Start Date,Event Last Update Date,Previous_Price,Post_Price,Return
2009-01-02,1.997426,49712400,14430.36796,1.62,0.15,931.8,81.07,879.5,8.003003,2.743889,15.038718,9.616222,,,,,,,1.818552,0.0
2009-01-05,2.034117,70573600,14428.76583,1.62,0.15,927.5,81.559998,857.8,8.170624,2.859692,15.179268,9.432753,NVDA.O,ConferencePresentations,NVIDIA Corporation at JPMorgan Tech Forum in conjunction with the 2009 International Consumer Electronics Show,2009-01-08,2009-01-08T17:00:00Z,,1.745168,0.0
2009-01-06,2.102914,65790400,14428.23178,1.62,0.15,934.7,82.599998,866.0,8.320313,2.812525,15.3568,9.723773,NVDA.O,ConferencePresentations,NVIDIA Corporation at JPMorgan Tech Forum in conjunction with the 2009 International Consumer Electronics Show,2009-01-08,2009-01-08T17:00:00Z,,1.754341,0.0
2009-01-07,1.976786,87009600,14427.69774,1.62,0.15,906.6,82.860001,841.7,8.020188,2.75175,14.43214,9.135411,NVDA.O,ConferencePresentations,NVIDIA Corporation at JPMorgan Tech Forum in conjunction with the 2009 International Consumer Electronics Show,2009-01-08,2009-01-08T17:00:00Z,,1.67637,0.0
2009-01-08,1.926334,101449600,14427.1637,1.62,0.15,909.7,82.279999,854.5,8.099391,2.802849,14.883377,9.205002,NVDA.O,ConferencePresentations,NVIDIA Corporation at JPMorgan Tech Forum in conjunction with the 2009 International Consumer Electronics Show,2009-01-08,2009-01-08T17:00:00Z,,1.735994,0.0
2009-01-09,1.818552,76135200,14426.62966,1.62,0.15,890.4,81.639999,855.0,7.847336,2.738749,14.43954,8.951941,NVDA.O,ConferencePresentations,NVIDIA Corporation at JPMorgan Tech Forum in conjunction with the 2009 International Consumer Electronics Show,2009-01-08,2009-01-08T17:00:00Z,1.997426,1.832311,-0.08266388842440216
2009-01-12,1.745168,64553200,14425.02753,1.62,0.15,870.3,82.470001,821.0,7.788058,2.680697,14.402551,8.724187,NVDA.O,ConferencePresentations,NVIDIA Corporation at JPMorgan Tech Forum in conjunction with the 2009 International Consumer Electronics Show,2009-01-08,2009-01-08T17:00:00Z,2.034117,1.653437,-0.18714754362703823
2009-01-13,1.754341,182442400,14424.49348,1.62,0.15,871.8,83.199997,820.7,7.828656,2.651972,14.66146,8.648271,NVDA.O,ConferencePresentations,NVIDIA Corporation at JPMorgan Tech Forum in conjunction with the 2009 International Consumer Electronics Show,2009-01-08,2009-01-08T17:00:00Z,2.102914,1.733701,-0.17557208711340558
2009-01-14,1.67637,97490800,14423.95944,1.62,0.15,842.6,84.230003,808.8,7.496153,2.580012,14.121456,8.275011,,,,,,1.976786,1.701596,0.0
2009-01-15,1.735994,99820400,14423.4254,1.62,0.15,843.7,84.309998,807.3,7.446837,2.521052,14.232413,8.407868,,,,,,1.926334,1.768101,0.0
2009-01-16,1.832311,83132400,14422.89135,1.62,0.15,850.1,84.379997,839.9,7.463774,2.489305,14.580086,8.692562,,,,,,1.818552,1.827724,0.0
2009-01-20,1.653437,70578800,14420.75518,1.62,0.15,805.2,85.07,856.0,7.042354,2.364432,13.670218,8.135831,,,,,,1.745168,1.935507,0.0
2009-01-21,1.733701,64847200,14420.22114,1.62,0.15,840.2,86.260002,850.1,7.548706,2.504422,14.335975,8.388888,,,,,,1.754341,2.015772,0.0
2009-01-22,1.701596,54765600,14419.6871,1.62,0.15,827.5,85.510002,858.8,7.633886,2.671626,12.65679,8.110523,,,,,,1.67637,1.898815,0.0
2009-01-23,1.768101,63361600,14419.15305,1.62,0.15,832.0,85.559998,895.8,8.087187,2.671626,12.723365,8.300315,,,,,,1.735994,1.823138,0.0
2009-01-26,1.827724,58174800,14417.55092,1.62,0.15,836.6,85.510002,908.8,8.066515,2.710328,13.04145,8.464806,,,,,,1.832311,1.921748,0.0
2009-01-27,1.935507,72530000,14417.01688,1.62,0.15,845.7,84.419998,899.5,8.256054,2.743284,13.063636,8.736846,,,,,,1.653437,1.944681,0.0
2009-01-28,2.015772,72375200,14416.48284,1.62,0.15,874.1,84.379997,888.2,8.684199,2.848202,13.344739,8.86337,,,,,,1.733701,1.999719,0.0
2009-01-29,1.898815,41312800,14415.9488,1.62,0.15,845.1,84.599998,906.5,8.550949,2.81192,13.01186,8.45848,,,,,,1.701596,2.146487,0.0
2009-01-30,1.823138,50676000,14415.41475,1.62,0.15,825.9,85.510002,928.4,8.431646,2.725144,12.649389,8.161135,,,,,,1.768101,2.263443,0.0
2009-02-02,1.921748,57799200,14413.7554,1.62,0.22,825.4,86.059998,907.2,8.482456,2.766869,13.189395,8.622968,,,,,,1.827724,2.233631,0.0
2009-02-03,1.944681,39694800,14413.16414,1.62,0.22,838.5,86.139999,892.5,8.479467,2.811315,13.685015,8.686231,,,,,,1.935507,2.137314,0.0
2009-02-04,1.999719,77923200,14412.57288,1.62,0.22,832.2,85.040001,902.2,8.542979,2.828549,13.781176,8.871589,,,,,,2.015772,1.869003,0.0
2009-02-05,2.146487,91919200,14411.98162,1.62,0.22,845.9,85.720001,914.2,8.809978,2.916536,14.084469,9.108079,NVDA.O,EarningsReleases,Q4 2009 NVIDIA Corporation Earnings Release,2009-02-10,2009-02-10T21:00:00Z,1.898815,1.907989,0.0048314343419448525
2009-02-06,2.263443,115788000,14411.39036,1.62,0.22,868.6,86.050003,914.3,9.247339,3.015103,14.5431,9.414878,NVDA.O,EarningsReleases,Q4 2009 NVIDIA Corporation Earnings Release,2009-02-10,2009-02-10T21:00:00Z,1.823138,1.905695,0.04528291330661749
2009-02-09,2.233631,71612800,14409.61657,1.62,0.22,869.9,85.160004,892.8,9.433889,3.099461,14.380364,9.529923,NVDA.O,EarningsReleases,Q4 2009 NVIDIA Corporation Earnings Release,2009-02-10,2009-02-10T21:00:00Z,1.921748,1.795619,-0.06563243463763195
2009-02-10,2.137314,112966400,14409.02531,1.62,0.22,827.2,85.050003,914.2,8.929281,2.957958,13.906934,8.999419,NVDA.O,EarningsCallsAndPresentations,Q4 2009 NVIDIA Corporation Earnings Conference Call,2009-02-10,2009-02-10T22:00:00Z,1.944681,1.843777,-0.05188717326903492
2009-02-11,1.869003,198340000,14408.43405,1.62,0.22,833.7,85.559998,944.5,8.917575,2.927419,14.210218,8.999419,NVDA.O,EarningsCallsAndPresentations,Q4 2009 NVIDIA Corporation Earnings Conference Call,2009-02-10,2009-02-10T22:00:00Z,1.999719,1.701596,-0.1490824460836747
2009-02-12,1.907989,102402000,14407.84279,1.62,0.22,835.2,85.860001,949.2,9.042357,3.001497,14.24721,8.94829,NVDA.O,EarningsCallsAndPresentations,Q4 2009 NVIDIA Corporation Earnings Conference Call,2009-02-10,2009-02-10T22:00:00Z,2.146487,1.745168,-0.1869654929193608
2009-02-13,1.905695,76430400,14407.25152,1.62,0.22,826.8,86.080002,942.2,8.908608,2.998172,14.121456,8.871589,NVDA.O,EarningsCallsAndPresentations,Q4 2009 NVIDIA Corporation Earnings Conference Call,2009-02-10,2009-02-10T22:00:00Z,2.263443,1.664903,-0.26443784977134394
2009-02-17,1.795619,77957600,14404.88648,1.62,0.22,789.2,86.559998,967.5,8.534511,2.85818,13.473482,8.443353,,,,,,2.233631,1.813965,0.0
2009-02-18,1.843777,64625200,14404.29521,1.62,0.22,788.4,87.809998,978.2,8.794785,2.853343,13.49582,8.539223,,,,,,2.137314,1.834604,0.0
2009-02-19,1.701596,74398800,14403.70395,1.62,0.22,778.9,88.059998,976.5,8.534012,2.740563,13.339411,8.10459,NVDA.O,ConferencePresentations,NVIDIA Corporation at WJB Capital Group Silicon Valley Bus Tour,2009-02-24,2009-02-24T20:00:00Z,1.869003,1.894229,0.013497035585282618
2009-02-20,1.745168,77005600,14403.11269,1.62,0.22,770.0,87.489998,1002.2,8.628907,2.757495,13.406446,8.168509,NVDA.O,ConferencePresentations,NVIDIA Corporation at WJB Capital Group Silicon Valley Bus Tour,2009-02-24,2009-02-24T20:00:00Z,1.907989,1.898815,-0.004808203820881575
2009-02-23,1.664903,67954800,14401.3389,1.62,0.22,743.3,86.849998,995.0,8.220687,2.628994,12.818054,7.721096,NVDA.O,ConferencePresentations,NVIDIA Corporation at WJB Capital Group Silicon Valley Bus Tour,2009-02-24,2009-02-24T20:00:00Z,1.905695,1.738288,-0.08784564161631314
2009-02-24,1.813965,65952400,14400.74764,1.62,0.22,773.1,87.309998,969.5,8.604,2.728771,12.788258,8.13655,NVDA.O,ConferencePresentations,NVIDIA Corporation at WJB Capital Group Silicon Valley Bus Tour,2009-02-24,2009-02-24T20:00:00Z,1.795619,1.807085,0.006385541698990697
2009-02-25,1.834604,70236000,14400.15638,1.62,0.22,764.9,86.739998,966.2,8.509106,2.756285,12.631849,8.3283,NVDA.O,ConferencePresentations,NVIDIA Corporation at WJB Capital Group Silicon Valley Bus Tour,2009-02-24,2009-02-24T20:00:00Z,1.843777,1.940095,0.05223950618757035
2009-02-26,1.894229,111755600,14399.56512,1.62,0.22,752.8,87.82,942.6,8.398022,2.696722,12.22966,8.123767,NVDA.O,ConferencePresentations,NVIDIA Corporation at Goldman Sachs Technology and Internet Conference,2009-02-26,2009-02-26T17:40:00Z,1.701596,1.894229,0.11320724778384518
2009-02-27,1.898815,75544400,14398.97386,1.62,0.22,735.1,87.910004,942.5,8.418197,2.70035,12.02856,8.142941,NVDA.O,ConferencePresentations,NVIDIA Corporation at Goldman Sachs Technology and Internet Conference,2009-02-26,2009-02-26T17:40:00Z,1.745168,1.924042,0.10249672237859046
